Event_Date,Actual_Price_USD,Error_Value_USD,Type,Start_Date,End_Date
2015-08-18,224.8,56.95,Drop,2015-08-15,2015-08-25
2015-11-06,374.47,50.14,Drop,2015-11-03,2015-11-13
2015-11-08,372.65,59.53,Drop,2015-11-05,2015-11-15
2015-11-09,377.9,51.99,Drop,2015-11-06,2015-11-16
2015-11-10,336.8,90.64,Drop,2015-11-07,2015-11-17
2015-11-11,309.91,103.22,Drop,2015-11-08,2015-11-18
2015-11-12,337.17,54.6,Drop,2015-11-09,2015-11-19
2015-12-20,442.54,58.59,Drop,2015-12-17,2015-12-27
2015-12-21,438.07,58.29,Drop,2015-12-18,2015-12-28
2015-12-22,435.48,54.36,Drop,2015-12-19,2015-12-29
2015-12-26,417.39,62.82,Drop,2015-12-23,2016-01-02
